"","water_year","position","Time_Period","value"
"1",2010,"MC","Annual",100
"2",2011,"MC","Annual",100
"3",2012,"MC","Annual",100
"4",2013,"MC","Annual",100
"5",2014,"MC","Annual",100
"6",2015,"MC","Annual",100
"7",2016,"MC","Annual",100
"8",2010,"MC","non_critical",100
"9",2011,"MC","non_critical",100
"10",2012,"MC","non_critical",100
"11",2013,"MC","non_critical",100
"12",2014,"MC","non_critical",100
"13",2015,"MC","non_critical",100
"14",2016,"MC","non_critical",100
"15",2010,"MC","critical",100
"16",2011,"MC","critical",100
"17",2012,"MC","critical",100
"18",2013,"MC","critical",100
"19",2014,"MC","critical",100
"20",2015,"MC","critical",100
"21",2016,"MC","critical",100
