"","season","position","water_year","Probability_Threshold","value"
"1","non_critical","MC",2010,"Low",0
"2","critical","MC",2010,"Low",0
"3","non_critical","MC",2011,"Low",0
"4","critical","MC",2011,"Low",0
"5","non_critical","MC",2012,"Low",0
"6","critical","MC",2012,"Low",0
"7","non_critical","MC",2013,"Low",0
"8","critical","MC",2013,"Low",0
"9","non_critical","MC",2014,"Low",0
"10","critical","MC",2014,"Low",0
"11","non_critical","MC",2015,"Low",0
"12","critical","MC",2015,"Low",0
"13","non_critical","MC",2016,"Low",0
"14","critical","MC",2016,"Low",0
"15","non_critical","LOB",2010,"Low",100
"16","critical","LOB",2010,"Low",100
"17","non_critical","LOB",2011,"Low",99.8406193078324
"18","critical","LOB",2011,"Low",99.8406193078324
"19","non_critical","LOB",2012,"Low",100
"20","critical","LOB",2012,"Low",100
"21","non_critical","LOB",2013,"Low",100
"22","critical","LOB",2013,"Low",100
"23","non_critical","LOB",2014,"Low",100
"24","critical","LOB",2014,"Low",100
"25","non_critical","LOB",2015,"Low",100
"26","critical","LOB",2015,"Low",100
"27","non_critical","LOB",2016,"Low",100
"28","critical","LOB",2016,"Low",100
"29","non_critical","ROB",2010,"Low",0
"30","critical","ROB",2010,"Low",0
"31","non_critical","ROB",2011,"Low",0
"32","critical","ROB",2011,"Low",0
"33","non_critical","ROB",2012,"Low",0
"34","critical","ROB",2012,"Low",0
"35","non_critical","ROB",2013,"Low",0
"36","critical","ROB",2013,"Low",0
"37","non_critical","ROB",2014,"Low",0
"38","critical","ROB",2014,"Low",0
"39","non_critical","ROB",2015,"Low",0
"40","critical","ROB",2015,"Low",0
"41","non_critical","ROB",2016,"Low",0
"42","critical","ROB",2016,"Low",0
"43","non_critical","MC",2010,"Medium",98.6984815618221
"44","critical","MC",2010,"Medium",98.6984815618221
"45","non_critical","MC",2011,"Medium",99.4307832422586
"46","critical","MC",2011,"Medium",99.4307832422586
"47","non_critical","MC",2012,"Medium",99.3835616438356
"48","critical","MC",2012,"Medium",99.3835616438356
"49","non_critical","MC",2013,"Medium",99.6004566210046
"50","critical","MC",2013,"Medium",99.6004566210046
"51","non_critical","MC",2014,"Medium",99.4292237442922
"52","critical","MC",2014,"Medium",99.4292237442922
"53","non_critical","MC",2015,"Medium",99.6357012750455
"54","critical","MC",2015,"Medium",99.6357012750455
"55","non_critical","MC",2016,"Medium",98.824200913242
"56","critical","MC",2016,"Medium",98.824200913242
"57","non_critical","LOB",2010,"Medium",12.1703390798036
"58","critical","LOB",2010,"Medium",12.1703390798036
"59","non_critical","LOB",2011,"Medium",2.76639344262295
"60","critical","LOB",2011,"Medium",2.76639344262295
"61","non_critical","LOB",2012,"Medium",4.1324200913242
"62","critical","LOB",2012,"Medium",4.1324200913242
"63","non_critical","LOB",2013,"Medium",1.55251141552511
"64","critical","LOB",2013,"Medium",1.55251141552511
"65","non_critical","LOB",2014,"Medium",2.75114155251142
"66","critical","LOB",2014,"Medium",2.75114155251142
"67","non_critical","LOB",2015,"Medium",2.26548269581056
"68","critical","LOB",2015,"Medium",2.26548269581056
"69","non_critical","LOB",2016,"Medium",5.70776255707763
"70","critical","LOB",2016,"Medium",5.70776255707763
"71","non_critical","ROB",2010,"Medium",0
"72","critical","ROB",2010,"Medium",0
"73","non_critical","ROB",2011,"Medium",0
"74","critical","ROB",2011,"Medium",0
"75","non_critical","ROB",2012,"Medium",0
"76","critical","ROB",2012,"Medium",0
"77","non_critical","ROB",2013,"Medium",0
"78","critical","ROB",2013,"Medium",0
"79","non_critical","ROB",2014,"Medium",0
